GEOID,date,national_cases_avg_per_100k,county_cases_avg_per_100k
19013,2020-01-26,0,NA
19003,2020-01-26,0,NA
19007,2020-01-26,0,NA
19009,2020-01-26,0,NA
19015,2020-01-26,0,NA
19019,2020-01-26,0,NA
19023,2020-01-26,0,NA
19025,2020-01-26,0,NA
19029,2020-01-26,0,NA
19031,2020-01-26,0,NA
19035,2020-01-26,0,NA
19039,2020-01-26,0,NA
19041,2020-01-26,0,NA
19045,2020-01-26,0,NA
19047,2020-01-26,0,NA
19051,2020-01-26,0,NA
19055,2020-01-26,0,NA
19057,2020-01-26,0,NA
19059,2020-01-26,0,NA
19061,2020-01-26,0,NA
19063,2020-01-26,0,NA
19065,2020-01-26,0,NA
19067,2020-01-26,0,NA
19069,2020-01-26,0,NA
19071,2020-01-26,0,NA
19073,2020-01-26,0,NA
19075,2020-01-26,0,NA
19077,2020-01-26,0,NA
19079,2020-01-26,0,NA
19081,2020-01-26,0,NA
19083,2020-01-26,0,NA
19085,2020-01-26,0,NA
19087,2020-01-26,0,NA
19089,2020-01-26,0,NA
19091,2020-01-26,0,NA
19093,2020-01-26,0,NA
19095,2020-01-26,0,NA
19097,2020-01-26,0,NA
19101,2020-01-26,0,NA
19103,2020-01-26,0,NA
19107,2020-01-26,0,NA
19111,2020-01-26,0,NA
19113,2020-01-26,0,NA
19117,2020-01-26,0,NA
19119,2020-01-26,0,NA
19123,2020-01-26,0,NA
19127,2020-01-26,0,NA
19129,2020-01-26,0,NA
19133,2020-01-26,0,NA
19137,2020-01-26,0,NA
19139,2020-01-26,0,NA
19143,2020-01-26,0,NA
19145,2020-01-26,0,NA
19149,2020-01-26,0,NA
19153,2020-01-26,0,NA
19155,2020-01-26,0,NA
19159,2020-01-26,0,NA
19161,2020-01-26,0,NA
19165,2020-01-26,0,NA
19167,2020-01-26,0,NA
19171,2020-01-26,0,NA
18043,2020-01-26,0,NA
18035,2020-01-26,0,NA
18039,2020-01-26,0,NA
18041,2020-01-26,0,NA
18045,2020-01-26,0,NA
18047,2020-01-26,0,NA
18049,2020-01-26,0,NA
18051,2020-01-26,0,NA
18053,2020-01-26,0,NA
18055,2020-01-26,0,NA
18057,2020-01-26,0,NA
18059,2020-01-26,0,NA
18061,2020-01-26,0,NA
18063,2020-01-26,0,NA
18065,2020-01-26,0,NA
18067,2020-01-26,0,NA
18069,2020-01-26,0,NA
18071,2020-01-26,0,NA
18073,2020-01-26,0,NA
18075,2020-01-26,0,NA
18077,2020-01-26,0,NA
18079,2020-01-26,0,NA
18081,2020-01-26,0,NA
18083,2020-01-26,0,NA
18087,2020-01-26,0,NA
18089,2020-01-26,0,NA
18093,2020-01-26,0,NA
18095,2020-01-26,0,NA
18099,2020-01-26,0,NA
18101,2020-01-26,0,NA
18105,2020-01-26,0,NA
18107,2020-01-26,0,NA
18111,2020-01-26,0,NA
18113,2020-01-26,0,NA
18117,2020-01-26,0,NA
18119,2020-01-26,0,NA
18123,2020-01-26,0,NA
18125,2020-01-26,0,NA
18129,2020-01-26,0,NA
18133,2020-01-26,0,NA
18135,2020-01-26,0,NA
18139,2020-01-26,0,NA
18141,2020-01-26,0,NA
18145,2020-01-26,0,NA
18147,2020-01-26,0,NA
18151,2020-01-26,0,NA
18153,2020-01-26,0,NA
18157,2020-01-26,0,NA
18159,2020-01-26,0,NA
18163,2020-01-26,0,NA
18165,2020-01-26,0,NA
18169,2020-01-26,0,NA
18171,2020-01-26,0,NA
18175,2020-01-26,0,NA
18177,2020-01-26,0,NA
18181,2020-01-26,0,NA
18183,2020-01-26,0,NA
25003,2020-01-26,0,NA
25005,2020-01-26,0,NA
08011,2020-01-26,0,NA
02240,2020-01-26,0,NA
02290,2020-01-26,0,NA
08005,2020-01-26,0,NA
08015,2020-01-26,0,NA
08019,2020-01-26,0,NA
08025,2020-01-26,0,NA
08031,2020-01-26,0,NA
08079,2020-01-26,0,NA
08083,2020-01-26,0,NA
08089,2020-01-26,0,NA
08095,2020-01-26,0,NA
08101,2020-01-26,0,NA
08105,2020-01-26,0,NA
08111,2020-01-26,0,NA
08117,2020-01-26,0,NA
08123,2020-01-26,0,NA
10001,2020-01-26,0,NA
30001,2020-01-26,0,NA
30007,2020-01-26,0,NA
30013,2020-01-26,0,NA
30017,2020-01-26,0,NA
30023,2020-01-26,0,NA
30029,2020-01-26,0,NA
30035,2020-01-26,0,NA
30039,2020-01-26,0,NA
30045,2020-01-26,0,NA
30051,2020-01-26,0,NA
30057,2020-01-26,0,NA
30061,2020-01-26,0,NA
30067,2020-01-26,0,NA
30073,2020-01-26,0,NA
13009,2020-01-26,0,NA
13015,2020-01-26,0,NA
13019,2020-01-26,0,NA
13025,2020-01-26,0,NA
13031,2020-01-26,0,NA
13037,2020-01-26,0,NA
13043,2020-01-26,0,NA
13049,2020-01-26,0,NA
13055,2020-01-26,0,NA
13061,2020-01-26,0,NA
13065,2020-01-26,0,NA
13071,2020-01-26,0,NA
13077,2020-01-26,0,NA
13081,2020-01-26,0,NA
13087,2020-01-26,0,NA
13093,2020-01-26,0,NA
13097,2020-01-26,0,NA
13103,2020-01-26,0,NA
13109,2020-01-26,0,NA
13115,2020-01-26,0,NA
13119,2020-01-26,0,NA
13125,2020-01-26,0,NA
