GEOID,year,county-response-rate,us-response-rate
21137,2020,69.1,67
21139,2020,62.6,67
21143,2020,55.6,67
21145,2020,71.9,67
21149,2020,63.8,67
21151,2020,72.2,67
21153,2020,45.4,67
21157,2020,65.8,67
21163,2020,70.7,67
21165,2020,46.1,67
21169,2020,61.3,67
21171,2020,62,67
21173,2020,71.7,67
21179,2020,77.4,67
21183,2020,66.9,67
21185,2020,83.3,67
21187,2020,54.8,67
21191,2020,67.5,67
21193,2020,46,67
21197,2020,57.2,67
21199,2020,65.2,67
21203,2020,64.4,67
21205,2020,64.8,67
21207,2020,56.2,67
21209,2020,77,67
21211,2020,76.1,67
21213,2020,71.9,67
21215,2020,79.9,67
21217,2020,70.4,67
21219,2020,62.6,67
21221,2020,60,67
21223,2020,67.1,67
21225,2020,68.8,67
21227,2020,67.6,67
21229,2020,72,67
21231,2020,58.9,67
21233,2020,63.7,67
21235,2020,61.7,67
21237,2020,40.8,67
21239,2020,75.3,67
21067,2020,71.2,67
21075,2020,59.2,67
21081,2020,69.1,67
21087,2020,67.6,67
21095,2020,43.6,67
21101,2020,70.2,67
21109,2020,50,67
21115,2020,59.5,67
21123,2020,73,67
21129,2020,51.7,67
21135,2020,57.9,67
21141,2020,68.5,67
21147,2020,47.3,67
21155,2020,72.5,67
21161,2020,66.6,67
21167,2020,70.6,67
21175,2020,62.3,67
21181,2020,66.5,67
21189,2020,32.2,67
21195,2020,59.3,67
21201,2020,55,67
21049,2020,75.1,67
21159,2020,41.1,67
21053,2020,51.8,67
21177,2020,67.8,67
50003,2020,54.1,67
50005,2020,55.2,67
50007,2020,76.2,67
50009,2020,38.7,67
50011,2020,66.1,67
50013,2020,44.2,67
50021,2020,56.8,67
50015,2020,55.5,67
50017,2020,57.9,67
50019,2020,49.1,67
50023,2020,62.8,67
50025,2020,49,67
50027,2020,54,67
50001,2020,66.9,67
15009,2020,53.3,67
15005,2020,21,67
15007,2020,54.2,67
15001,2020,49.7,67
15003,2020,69,67
