GEOID,month,county_unemployment_rate,national_unemployment_rate
010010,01/01/20,2.9,4
010010,02/01/20,2.6,3.8
010010,03/01/20,2.5,4.5
010010,04/01/20,10.9,14.4
010010,05/01/20,6.4,13
010010,06/01/20,6.5,11.2
010010,07/01/20,6.3,10.5
010010,08/01/20,5.8,8.5
010010,09/01/20,5.5,7.7
010010,10/01/20,3.4,6.6
010010,11/01/20,3.1,6.4
010010,12/01/20,2.9,6.5
010030,01/01/20,3,4
010030,02/01/20,2.5,3.8
010030,03/01/20,2.5,4.5
010030,04/01/20,14.5,14.4
010030,05/01/20,7.6,13
010030,06/01/20,7.3,11.2
010030,07/01/20,7.1,10.5
010030,08/01/20,6.4,8.5
010030,09/01/20,5.9,7.7
010030,10/01/20,3.9,6.6
010030,11/01/20,3.4,6.4
010030,12/01/20,3.1,6.5
010050,01/01/20,3.7,4
010050,02/01/20,3.3,3.8
010050,03/01/20,3.4,4.5
010050,04/01/20,9.3,14.4
010050,05/01/20,7.2,13
010050,06/01/20,9.1,11.2
010050,07/01/20,9.8,10.5
010050,08/01/20,9.9,8.5
010050,09/01/20,10.1,7.7
010050,10/01/20,6.9,6.6
010050,11/01/20,6,6.4
010050,12/01/20,5.7,6.5
010070,01/01/20,3.2,4
010070,02/01/20,2.9,3.8
010070,03/01/20,2.9,4.5
010070,04/01/20,17.1,14.4
010070,05/01/20,8.9,13
010070,06/01/20,8.6,11.2
010070,07/01/20,8.3,10.5
010070,08/01/20,7.9,8.5
010070,09/01/20,7,7.7
010070,10/01/20,4.5,6.6
010070,11/01/20,4.1,6.4
010070,12/01/20,3.8,6.5
010090,01/01/20,2.9,4
010090,02/01/20,2.4,3.8
010090,03/01/20,2.5,4.5
010090,04/01/20,9.1,14.4
010090,05/01/20,5.3,13
010090,06/01/20,5.7,11.2
010090,07/01/20,5.3,10.5
010090,08/01/20,4.7,8.5
010090,09/01/20,4.3,7.7
010090,10/01/20,2.6,6.6
010090,11/01/20,2.4,6.4
010090,12/01/20,2.2,6.5
010110,01/01/20,4,4
010110,02/01/20,3.1,3.8
010110,03/01/20,3.1,4.5
010110,04/01/20,8.2,14.4
010110,05/01/20,5.6,13
010110,06/01/20,6.6,11.2
010110,07/01/20,7.4,10.5
010110,08/01/20,7.4,8.5
010110,09/01/20,7,7.7
010110,10/01/20,5,6.6
010110,11/01/20,4.4,6.4
010110,12/01/20,4.2,6.5
010130,01/01/20,4.1,4
010130,02/01/20,4,3.8
010130,03/01/20,3.7,4.5
010130,04/01/20,20,14.4
010130,05/01/20,10.8,13
010130,06/01/20,11.2,11.2
010130,07/01/20,11.9,10.5
010130,08/01/20,11,8.5
010130,09/01/20,10.5,7.7
010130,10/01/20,7.1,6.6
010130,11/01/20,6.1,6.4
010130,12/01/20,5.9,6.5
010150,01/01/20,3.7,4
010150,02/01/20,3.3,3.8
010150,03/01/20,3.2,4.5
010150,04/01/20,17.7,14.4
010150,05/01/20,9.3,13
010150,06/01/20,9.1,11.2
010150,07/01/20,8.8,10.5
010150,08/01/20,8.3,8.5
010150,09/01/20,7.7,7.7
010150,10/01/20,5,6.6
010150,11/01/20,4.4,6.4
010150,12/01/20,4,6.5
010170,01/01/20,3.1,4
010170,02/01/20,2.7,3.8
010170,03/01/20,2.8,4.5
010170,04/01/20,15.7,14.4
010170,05/01/20,10.3,13
010170,06/01/20,9.9,11.2
010170,07/01/20,8.8,10.5
010170,08/01/20,7.9,8.5
010170,09/01/20,7.4,7.7
010170,10/01/20,4.9,6.6
010170,11/01/20,4.3,6.4
010170,12/01/20,3.9,6.5
