fips,stabbrev,countynm,total_all_all,all_hisp_all,white_all_all,black_all_all,aian_all_all,asian_all_all,nhpi_all_all,twoplus_all_all,total_all_18P,all_hisp_18P,white_all_18P,black_all_18P,aian_all_18P,asian_all_18P,nhpi_all_18P,twoplus_all_18P,total_all_17U,all_hisp_17U,white_all_17U,black_all_17U,aian_all_17U,asian_all_17U,nhpi_all_17U,twoplus_all_17U,hu_total,hu_occupied,hu_vacant,gq_total,gq_inst,gq_inst_corr_adult,gq_inst_juv,gq_inst_nursing,gq_inst_other,gq_noninst,gq_noninst_college,gq_noninst_military,gq_noninst_other
01001,AL,Autauga County,58805,2117,42045,11441,190,894,26,2092,44523,1339,32737,8379,158,645,21,1244,14282,778,9308,3062,32,249,5,848,24350,22412,1938,487,408,142,6,260,0,79,0,0,79
01003,AL,Baldwin County,231767,12686,188877,18288,1300,2126,127,8363,182471,8197,152633,13656,1054,1624,87,5220,49296,4489,36244,4632,246,502,40,3143,124148,93116,31032,3552,2761,1229,74,1212,246,791,309,0,482
01005,AL,Barbour County,25223,1510,11171,11890,59,111,0,482,20134,934,9519,9251,49,90,0,291,5089,576,1652,2639,10,21,0,191,11618,9677,1941,2717,2672,2517,0,155,0,45,0,0,45
01007,AL,Bibb County,22293,740,16547,4402,40,31,9,524,17533,463,13123,3554,37,20,9,327,4760,277,3424,848,3,11,0,197,9002,7927,1075,2140,2101,1856,10,235,0,39,0,0,39
01009,AL,Blount County,59134,5771,50238,868,195,185,12,1865,45403,3534,39658,666,160,129,11,1245,13731,2237,10580,202,35,56,1,620,24622,22367,2255,613,411,91,0,320,0,202,0,0,202
01011,AL,Bullock County,10357,503,2310,7397,1,15,7,124,8356,273,2091,5891,1,7,3,90,2001,230,219,1506,0,8,4,34,4516,3928,588,1704,1683,1580,0,103,0,21,0,0,21
01013,AL,Butler County,19051,260,9742,8416,24,148,5,456,14903,178,7982,6320,23,117,5,278,4148,82,1760,2096,1,31,0,178,9806,8170,1636,281,252,54,0,198,0,29,0,0,29
01015,AL,Calhoun County,116441,5010,80203,25523,392,1198,117,3998,92289,3229,65288,19843,336,1004,86,2503,24152,1781,14915,5680,56,194,31,1495,53052,46437,6615,5620,2066,1024,180,862,0,3554,3345,0,209
21135,KY,Lewis County,13080,83,12642,39,18,10,4,284,9948,44,9671,20,18,9,4,182,3132,39,2971,19,0,1,0,102,6023,5239,784,142,142,50,0,92,0,0,0,0,0
21137,KY,Lincoln County,24275,475,22613,476,34,65,2,610,18576,256,17486,382,27,38,0,387,5699,219,5127,94,7,27,2,223,10777,9711,1066,178,178,95,0,83,0,0,0,0,0
21139,KY,Livingston County,8888,186,8295,28,19,14,6,340,7129,101,6733,24,18,10,6,237,1759,85,1562,4,1,4,0,103,4589,3789,800,63,41,0,0,41,0,22,0,0,22
21141,KY,Logan County,27432,853,23844,1725,44,105,3,858,20978,539,18529,1312,43,77,0,478,6454,314,5315,413,1,28,3,380,12461,11000,1461,339,290,137,0,153,0,49,0,0,49
21143,KY,Lyon County,8680,152,7792,512,25,36,0,163,7517,110,6750,489,25,30,0,113,1163,42,1042,23,0,6,0,50,4780,3327,1453,1582,1574,1484,0,90,0,8,0,0,8
21145,KY,McCracken County,67875,2135,54373,7651,173,691,19,2833,53058,1308,43914,5549,148,521,12,1606,14817,827,10459,2102,25,170,7,1227,32040,28932,3108,2144,1034,577,28,421,8,1110,0,0,1110
21147,KY,McCreary County,16888,365,15203,914,60,34,3,309,13028,293,11531,903,51,23,3,224,3860,72,3672,11,9,11,0,85,6892,6058,834,1687,1521,1445,16,60,0,166,0,0,166
21151,KY,Madison County,92701,3064,80196,4002,193,1034,58,4154,73345,2091,64060,3272,163,832,47,2880,19356,973,16136,730,30,202,11,1274,39319,36148,3171,5796,754,314,0,440,0,5042,4931,0,111
21155,KY,Marion County,19581,681,16893,1233,1,130,47,596,14901,398,13126,963,0,94,33,287,4680,283,3767,270,1,36,14,309,8350,7752,598,539,438,264,0,174,0,101,0,0,101
21157,KY,Marshall County,31659,539,29938,122,61,134,9,856,25125,321,23992,93,54,79,7,579,6534,218,5946,29,7,55,2,277,16351,13359,2992,447,431,216,0,215,0,16,0,0,16
21161,KY,Mason County,17120,356,14885,1054,30,112,0,683,13245,189,11805,811,24,84,0,332,3875,167,3080,243,6,28,0,351,8160,7136,1024,255,232,121,0,111,0,23,0,0,23
21163,KY,Meade County,30003,1133,26192,985,133,234,74,1252,22345,649,19964,690,108,183,38,713,7658,484,6228,295,25,51,36,539,11943,11045,898,230,212,152,0,60,0,18,0,0,18
21167,KY,Mercer County,22641,703,20251,785,41,89,14,758,17634,420,15988,669,35,59,9,454,5007,283,4263,116,6,30,5,304,10338,9213,1125,269,173,0,0,173,0,96,80,0,16
21169,KY,Metcalfe County,10286,230,9693,122,3,13,0,225,7867,152,7445,99,3,11,0,157,2419,78,2248,23,0,2,0,68,4691,4148,543,93,73,0,0,73,0,20,0,0,20
21173,KY,Montgomery County,28114,925,25562,640,27,152,1,807,21511,548,19776,542,20,120,1,504,6603,377,5786,98,7,32,0,303,12125,11117,1008,315,302,164,0,138,0,13,0,0,13
