STNAME,CTYNAME,GEOID,EST_POP_TOT,EST_NH_WA_TOT,EST_NH_BA_TOT,EST_H_TOT_TOT,EST_NH_AI_TOT,EST_NH_AA_TOT,EST_NH_NA_TOT,EST_NH_TOM_TOT,EST_HU_TOT,EST_GQ_TOT,EST_TOT_TOT_18P,EST_NH_WA_18P,EST_NH_BA_18P,EST_H_TOT_18P,EST_NH_AI_18P,EST_NH_AA_18P,EST_NH_NA_18P,EST_NH_TOM_18P,EST_TOT_TOT_17U,EST_NH_WA_17U,EST_NH_BA_17U,EST_H_TOT_17U,EST_NH_AI_17U,EST_NH_AA_17U,EST_NH_NA_17U,EST_NH_TOM_17U,GEOYEAR,PCT_HH_BROADBAND,PCT_HH_BROADBAND_NATIONAL
Alabama,Autauga County,01001,56145,41079,11408,1741,239,638,40,1000,24099,455,43104,32320,8460,1138,199,483,28,476,13041,8759,2948,603,40,155,12,524,2020,80.56736925737253,82.66649219921473
Alabama,Baldwin County,01003,229287,191015,19441,10625,1533,2492,110,4071,121741,2268,179725,153716,14227,6740,1263,1783,85,1911,49562,37299,5214,3885,270,709,25,2160,2020,81.8163845298406,82.66649219921473
Alabama,Barbour County,01005,24589,11130,11756,1149,94,111,27,322,12111,2777,19599,9486,9121,638,84,85,22,163,4990,1644,2635,511,10,26,5,159,2020,60.52434456928839,82.66649219921473
Alabama,Bibb County,01007,22136,16420,4644,649,89,47,6,281,9327,2121,17733,13179,3849,458,72,40,4,131,4403,3241,795,191,17,7,2,150,2020,69.20621099985487,82.66649219921473
Alabama,Blount County,01009,57879,50238,884,5524,268,203,21,741,24599,489,44687,39871,667,3347,234,134,20,414,13192,10367,217,2177,34,69,1,327,2020,73.00810668201659,82.66649219921473
Alabama,Bullock County,01011,9976,2104,6852,885,26,15,5,89,4620,1704,7948,1943,5410,514,25,12,3,41,2028,161,1442,371,1,3,2,48,2020,60.09656347628515,82.66649219921473
Alabama,Butler County,01013,19504,9943,8699,323,71,257,7,204,10170,333,15224,8174,6487,187,57,212,4,103,4280,1769,2212,136,14,45,3,101,2020,64.58653550568705,82.66649219921473
Alabama,Calhoun County,01015,113469,81012,24049,4668,461,943,99,2237,53905,3285,89352,66351,17927,2783,428,766,84,1013,24117,14661,6122,1885,33,177,15,1224,2020,75.14628404887344,82.66649219921473
Alabama,Chambers County,01017,32865,18005,13131,915,78,358,12,366,17039,458,26200,14968,10148,483,65,332,10,194,6665,3037,2983,432,13,26,2,172,2020,69.42296252230815,82.66649219921473
Alabama,Cherokee County,01019,26294,24046,1081,482,152,117,1,415,16742,290,21420,19800,885,291,133,60,1,250,4874,4246,196,191,19,57,0,165,2020,70.72739126385397,82.66649219921473
Alabama,Chilton County,01021,44397,35584,4405,3524,157,191,14,522,20131,393,33851,27988,3304,2027,133,134,12,253,10546,7596,1101,1497,24,57,2,269,2020,68.70089206593018,82.66649219921473
Alabama,Choctaw County,01023,12418,6999,5122,147,23,25,0,102,7452,129,10015,5731,4118,77,22,21,0,46,2403,1268,1004,70,1,4,0,56,2020,61.301886792452834,82.66649219921473
Alabama,Clarke County,01025,23291,12068,10463,315,114,98,5,228,12873,280,18422,9905,8032,209,92,78,2,104,4869,2163,2431,106,22,20,3,124,2020,57.491749174917494,82.66649219921473
Alabama,Clay County,01027,13112,10565,1776,411,65,33,0,262,6855,255,10477,8616,1382,275,61,27,0,116,2635,1949,394,136,4,6,0,146,2020,70.10388611004232,82.66649219921473
Alabama,Cleburne County,01029,14967,13836,422,416,66,25,1,201,6897,178,11566,10839,331,238,51,22,0,85,3401,2997,91,178,15,3,1,116,2020,64.33098591549296,82.66649219921473
Alabama,Coffee County,01031,53230,36768,9058,4423,582,840,80,1479,23642,600,40678,29185,6894,2623,487,727,56,706,12552,7583,2164,1800,95,113,24,773,2020,80.03914876530817,82.66649219921473
Alabama,Colbert County,01033,55411,42977,8872,1763,325,370,29,1075,26971,474,43809,34711,6939,1059,287,282,21,510,11602,8266,1933,704,38,88,8,565,2020,70.08683729433272,82.66649219921473
Alabama,Conecuh County,01035,11851,5935,5384,293,56,29,3,151,7240,45,9489,5011,4155,171,46,26,2,78,2362,924,1229,122,10,3,1,73,2020,52.69053371403471,82.66649219921473
Alabama,Coosa County,01037,10650,6982,3201,270,50,19,1,127,6655,259,8945,5992,2637,180,46,16,0,74,1705,990,564,90,4,3,1,53,2020,69.46924603174604,82.66649219921473
Alabama,Covington County,01039,36930,30607,4620,707,237,176,2,581,19150,575,28889,24382,3446,461,188,136,2,274,8041,6225,1174,246,49,40,0,307,2020,70.6706167519526,82.66649219921473
Alabama,Crenshaw County,01041,13681,9586,3246,330,85,163,2,269,6882,132,10614,7628,2512,168,66,119,0,121,3067,1958,734,162,19,44,2,148,2020,65.12239530649403,82.66649219921473
Alabama,Cullman County,01043,84515,77490,1069,3835,473,531,51,1066,38483,1040,65543,61130,774,2172,411,393,35,628,18972,16360,295,1663,62,138,16,438,2020,74.1058194238577,82.66649219921473
Alabama,Dale County,01045,48959,33271,9995,3396,337,697,64,1199,23260,926,37865,26744,7408,2198,289,570,44,612,11094,6527,2587,1198,48,127,20,587,2020,76.97543337232798,82.66649219921473
Alabama,Dallas County,01047,36098,9646,25415,431,84,182,11,329,20455,853,27949,8231,19051,268,78,158,9,154,8149,1415,6364,163,6,24,2,175,2020,69.65430546825895,82.66649219921473
Alabama,DeKalb County,01049,71658,57019,1030,10937,892,259,43,1478,31663,781,54478,45727,836,5984,755,224,28,924,17180,11292,194,4953,137,35,15,554,2020,71.99308755760369,82.66649219921473
Alabama,Elmore County,01051,82158,60083,17222,2485,309,626,69,1364,34585,4174,63976,47933,13010,1530,270,515,50,668,18182,12150,4212,955,39,111,19,696,2020,81.52349535478659,82.66649219921473
