sumlev,state,county,name,hucensus2000,huestbase2000,huest_072000,huest_072001,huest_072002,huest_072003,huest_072004,huest_072005,huest_072006,huest_072007,huest_072008,huest_072009,huest_042010,huest_072010
040,01,000,Alabama,1963711,1963785,1970338,1999606,2019744,2038941,2063923,2088539,2117487,2145673,2167697,2182914,2190484,2193008
050,01,001,Autauga County,17662,17733,17809,18158,18559,18828,19110,19428,19717,20002,20208,20357,20415,20435
050,01,003,Baldwin County,74285,74283,74947,77739,79770,81839,85569,90130,96575,101857,103882,105819,106393,106584
050,01,005,Barbour County,12461,12464,12509,12727,12793,12835,12875,12891,12934,12957,12969,12978,12976,12975
050,01,007,Bibb County,8345,8330,8357,8494,8545,8578,8615,8626,8653,8675,8692,8770,8773,8774
050,01,009,Blount County,21158,21139,21191,21459,21525,21562,21726,21795,21868,21944,21962,22001,22009,22012
050,01,011,Bullock County,4727,4675,4688,4755,4776,4793,4818,4816,4821,4855,4850,4851,4849,4848
050,01,013,Butler County,9957,9955,10002,10215,10255,10285,10326,10333,10386,10394,10409,10423,10418,10417
050,01,015,Calhoun County,51322,51177,51324,51996,52324,52588,52812,52956,53192,53368,53717,53871,53960,53990
050,01,017,Chambers County,16256,16266,16295,16442,16493,16525,16555,16555,16560,16555,17249,17243,17241,17240
050,01,019,Cherokee County,14025,13990,14036,14265,14361,14440,14522,14536,14578,14705,14722,14752,14754,14755
050,01,021,Chilton County,17651,17654,17715,18012,18189,18285,18382,18467,18629,18749,18814,18856,18863,18866
050,01,023,Choctaw County,7839,7840,7865,7989,8034,8064,8100,8098,8113,8114,8107,8115,8114,8114
050,01,025,Clarke County,12631,12630,12662,12828,12890,12936,13023,13031,13050,13072,13083,13146,13145,13145
050,01,027,Clay County,6612,6606,6623,6709,6740,6759,6788,6819,6827,6823,6819,6822,6821,6820
050,01,029,Cleburne County,6189,6193,6217,6334,6369,6392,6420,6422,6461,6488,6488,6503,6503,6503
050,01,031,Coffee County,19837,19844,19896,20134,20294,20472,20694,21026,21518,21814,22202,22439,22543,22578
050,01,033,Colbert County,24980,24979,25039,25306,25498,25676,25861,25961,26111,26286,26519,26690,26745,26764
050,01,035,Conecuh County,7265,7256,7276,7375,7409,7433,7463,7459,7464,7462,7504,7553,7552,7552
050,01,037,Coosa County,6142,6115,6134,6228,6263,6286,6315,6311,6360,6355,6348,6354,6353,6352
050,01,039,Covington County,18578,18577,18614,18801,18869,18916,18968,19010,19053,19059,19245,19255,19255,19255
050,01,041,Crenshaw County,6644,6642,6660,6750,6785,6808,6842,6840,6885,6886,6885,6895,6892,6891
050,01,043,Cullman County,35233,35204,35302,35773,35954,36216,36396,36455,36563,36613,36717,36789,36813,36821
050,01,045,Dale County,21779,21770,21823,22078,22187,22267,22389,22477,22598,22699,22773,22846,22915,22938
050,01,047,Dallas County,20450,20452,20503,20744,20804,20841,20944,20922,20994,21025,21020,21033,21028,21026
050,01,049,DeKalb County,28051,28049,28131,28526,28710,28849,28997,29070,29174,29276,29337,29384,29389,29391
050,01,051,Elmore County,25733,25677,25791,26299,26708,27177,27638,28098,28623,28912,29066,29188,29267,29294
050,01,053,Escambia County,16544,16553,16590,16777,16838,16886,16940,16942,17036,17032,17033,17049,17043,17040
050,01,055,Etowah County,45959,45963,46065,46531,46858,47171,47502,47737,48086,48386,48566,48711,48745,48756
050,01,057,Fayette County,8472,8487,8509,8615,8668,8698,8734,8741,8764,8809,8854,8860,8859,8859
050,01,059,Franklin County,13749,13768,13796,13933,13999,14049,14097,14100,14127,14142,14149,14169,14174,14175
050,01,061,Geneva County,12115,12091,12122,12275,12324,12360,12405,12414,12446,12464,12465,12478,12483,12485
050,01,063,Greene County,5117,5105,5121,5199,5230,5246,5264,5264,5280,5279,5282,5288,5286,5285
050,01,065,Hale County,7756,7750,7780,7928,7994,8049,8111,8140,8209,8269,8317,8349,8360,8364
050,01,067,Henry County,8037,8031,8053,8162,8212,8249,8308,8331,8383,8382,8378,8384,8410,8419
050,01,069,Houston County,39571,39596,39792,40641,41022,41375,41772,42374,42954,43523,43781,44068,44215,44264
050,01,071,Jackson County,24168,24144,24224,24601,24736,24848,24973,25016,25122,25196,25252,25321,25339,25345
050,01,073,Jefferson County,288162,288162,288823,291573,293480,295624,298711,302083,305102,308652,310776,312184,312439,312524
050,01,075,Lamar County,7517,7513,7531,7621,7655,7680,7713,7714,7723,7722,7719,7730,7729,7729
050,01,077,Lauderdale County,40424,40420,40513,40926,41112,41344,41722,41841,41989,42107,42224,42369,42410,42424
050,01,079,Lawrence County,15009,15018,15069,15315,15407,15474,15554,15554,15580,15574,15568,15588,15589,15590
050,01,081,Lee County,50329,50295,50552,51640,52837,54449,55909,57379,59127,61235,62636,63811,64665,64950
050,01,083,Limestone County,26897,26893,26971,27320,27546,27831,28131,28347,28699,29018,29303,29674,29879,29947
050,01,085,Lowndes County,5801,5801,5815,5893,5903,5903,5900,5902,5914,5916,5918,5927,5927,5927
050,01,087,Macon County,10627,10623,10648,10766,10863,10898,10931,10936,10951,10960,10970,10979,10975,10974
050,01,089,Madison County,120288,120430,120733,122011,123445,124778,128452,131673,134528,138266,142021,144520,146303,146898
050,01,091,Marengo County,10127,10122,10147,10273,10315,10344,10384,10393,10429,10447,10472,10496,10492,10491
050,01,093,Marion County,14416,14393,14437,14648,14759,14802,14851,14884,14938,14964,14984,15001,15007,15008
050,01,095,Marshall County,36331,36361,36456,36896,37140,37429,37692,37830,38148,38369,38566,38675,38686,38690
050,01,097,Mobile County,165101,165121,165660,167995,170072,171444,172753,174762,176410,178791,180867,182886,184524,185069
050,01,099,Monroe County,11343,11342,11384,11583,11638,11678,11727,11733,11751,11754,11751,11764,11761,11760
050,01,101,Montgomery County,95437,95447,95649,96510,97224,98010,98964,100016,101409,102151,103368,103559,103603,103618
050,01,103,Morgan County,47388,47392,47527,48127,48484,48899,49348,49644,49990,50240,50607,50763,50794,50805
