GEOID,UNRATE2020_01,UNRATE2020_02,UNRATE2020_03,UNRATE2020_04,UNRATE2020_05,UNRATE2020_06,UNRATE2020_07,UNRATE2020_08,UNRATE2020_09,UNRATE2020_10,UNRATE2020_11,UNRATE2020_12
0,4,3.8,4.5,14.4,13,11.2,10.5,8.5,7.7,6.6,6.4,6.5
1000,3.1,2.8,2.8,12.7,7.6,8,7.9,7.3,6.8,4.3,3.8,3.5
1001,2.9,2.6,2.5,10.9,6.4,6.5,6.3,5.8,5.5,3.4,3.1,2.9
1003,3,2.5,2.5,14.5,7.6,7.3,7.1,6.4,5.9,3.9,3.4,3.1
1005,3.7,3.3,3.4,9.3,7.2,9.1,9.8,9.9,10.1,6.9,6,5.7
1007,3.2,2.9,2.9,17.1,8.9,8.6,8.3,7.9,7,4.5,4.1,3.8
1009,2.9,2.4,2.5,9.1,5.3,5.7,5.3,4.7,4.3,2.6,2.4,2.2
1011,4,3.1,3.1,8.2,5.6,6.6,7.4,7.4,7,5,4.4,4.2
1013,4.1,4,3.7,20,10.8,11.2,11.9,11,10.5,7.1,6.1,5.9
1015,3.7,3.3,3.2,17.7,9.3,9.1,8.8,8.3,7.7,5,4.4,4
1017,3.1,2.7,2.8,15.7,10.3,9.9,8.8,7.9,7.4,4.9,4.3,3.9
1019,3.2,2.7,2.6,12.5,6.5,6.1,5.3,4.7,4.4,2.8,2.6,2.5
1021,2.8,2.4,2.4,11.6,7.3,6.7,6.5,5.9,5.4,3.3,2.9,2.7
1023,5.2,4.7,4.6,11,7.6,9.4,8.7,7.9,7.6,4.6,4.3,4.3
1025,5.8,5.2,5.4,13.6,9.6,11.2,13,12.9,11.8,6.9,6.3,6.1
1027,3.1,2.5,2.6,8.5,4.5,4.7,4.8,4.6,4.6,3,2.9,2.7
1029,3.2,2.8,3,11.7,6,6,5.4,4.7,4.4,2.9,2.6,2.3
1031,3,2.5,2.6,8.7,5.5,6,5.7,5.3,5.1,3.1,2.8,2.6
1033,4,3.6,3.3,15.8,9.1,8.7,8.4,7.7,7,4.3,3.8,3.5
1035,4.1,3.6,3.5,14.1,7.9,9.2,10.1,9.6,9.2,6.1,5.1,4.8
1037,3.4,2.8,2.8,12.8,7.3,7.1,6.7,6.4,6.1,4.1,3.7,3.2
1039,3.6,3.1,3.1,10,6,6.5,6.4,5.6,5.2,3.3,3,2.9
1041,3.4,2.7,2.8,16.4,7.3,7,7.2,6.4,5.9,3.7,3.3,3.3
1043,2.8,2.4,2.4,11.4,6.4,5.6,5.1,4.7,4.3,2.6,2.4,2.1
1045,3.1,2.7,2.7,8.7,5.8,6.5,6.5,6.3,6,3.7,3.4,3.3
1047,5.4,5,4.8,20.6,12.8,13.6,14.9,13.9,13.3,8.9,7.7,7.4
1049,3.1,2.6,2.6,11,6,5.7,5.6,5.1,4.7,2.9,2.7,2.5
1051,2.8,2.5,2.4,10.7,6.2,6.6,6.5,5.8,5.5,3.5,3.1,2.8
1053,3.7,3.3,3.3,10.7,6.8,8,8.2,7.8,7.3,4.7,4.1,3.9
1055,4.1,3.9,3.8,19.2,10.5,9.9,9.9,9.1,8.3,5.3,4.5,4
1057,3.3,2.8,2.7,10.3,7,7.2,6.2,5.6,5.1,3.7,3.2,2.9
1059,3,3.4,2.6,10.6,5.5,5.9,5.6,4.9,4.4,2.7,2.5,2.2
1061,3.1,2.6,2.7,7.6,4.9,5.5,5.4,4.8,4.5,2.9,2.7,2.6
1063,5.3,5,4.9,21,13.6,14,14.5,14.2,13.4,8.8,7.7,7.3
1065,4.2,3.9,4,21.1,12.4,12.2,12.2,11.8,11.2,7.7,6.4,6.1
1067,3.7,3.1,3.2,8.7,6,6.3,5.7,5.7,5.5,3.5,3.4,3.1
1069,3.1,2.7,2.7,10.2,6.6,7.3,7.2,7,6.6,4.2,3.8,3.4
1071,3.6,3.2,3.1,12.8,7.2,7.2,6.4,5.8,5.3,3.2,3,2.8
1073,2.9,2.6,2.6,12.2,7.9,8.6,8.8,8.3,7.8,5,4.3,3.9
1075,3.3,3.1,2.9,11,6,6.4,6,5.6,5.4,3.1,2.8,2.9
1077,3.4,2.9,2.8,14,7.9,7.4,7,6.3,5.6,3.4,3.1,2.9
1079,3.2,2.8,2.7,10.6,6.4,6.6,6.3,5.8,5.3,3.3,3,2.8
1081,2.8,2.4,2.6,12.3,7.4,7.3,6.9,6.2,5.7,3.6,3.2,2.8
1083,2.7,2.3,2.4,10.7,5.7,5.6,5.1,4.8,4.5,2.8,2.5,2.3
1085,5.5,4.9,4.7,25.5,15.2,17.1,18.4,17,17,12,10.2,9.8
1087,4,3.6,3.8,18.2,12.4,13,14,12.5,11.8,8.1,6.8,6.3
1089,2.6,2.3,2.3,9.9,6,6.5,6.2,5.8,5.4,3.4,3,2.7
1091,3.7,3.4,3.4,10.8,6.9,8.2,8.6,8.2,7.8,5.2,4.7,4.4
1093,3.8,3.8,3.1,10.5,6,6.5,6.6,5.6,5.5,3.6,3.1,3
1095,2.6,2.3,2.3,10.4,5.4,5.5,5.3,4.8,4.4,2.7,2.5,2.2
1097,3.8,3.6,3.5,14.2,10,11.3,11.7,10.3,9.8,6.2,5.4,5
1099,5.2,4.8,4.5,14.9,8.9,10.9,11,10.3,9.8,6.3,5.6,5.6
1101,3.2,2.9,2.9,14.5,9.6,10.9,11.2,10.5,10.1,6.7,5.7,5.3
1103,2.7,2.3,2.3,10.1,5.8,6,5.9,5.4,5,3,2.8,2.6
1105,5.1,4.7,4.6,19.5,12.4,14.3,14.8,14.3,13.4,9.2,8.3,8.1
1107,3.5,3.3,3.8,14.5,8.8,8.6,8.1,7.8,7.4,4.9,4.4,4.1
1109,3.4,2.7,2.9,8.4,5.4,6.8,6.9,6.4,6,3.8,3.4,3.2
1111,3.2,2.8,2.8,12.1,6.9,6.6,5.4,4.9,4.5,2.8,2.7,2.5
1113,3.1,2.7,2.9,10.4,6.9,7.4,6.8,6.1,5.7,3.7,3.4,3
1115,2.8,2.4,2.4,12.6,6.6,6.5,6.2,5.8,5.4,3.3,2.9,2.7
1117,2.3,2,2,8.8,5.2,5.4,5.1,4.7,4.3,2.6,2.3,2
1119,4.2,3.9,3.8,12.5,8.9,10,9.1,8.5,8,5.3,4.8,4.5
1121,3.6,3.2,3.1,19,9.5,8.5,8.5,8,7.6,4.7,4.2,3.9
1123,3.4,2.8,3,17.2,8.9,9,9.1,8.5,7.8,5.2,4.6,4.3
1125,2.7,2.3,2.4,17,9.4,9.1,8.9,8.2,7.5,4.7,4.1,3.8
1127,3.7,3.2,3.1,12.5,7.4,8,7.5,6.9,6.3,4.1,3.8,3.5
1129,4.9,4.6,4.2,11.7,10,11.5,12.4,11,9.9,5.8,5.3,4.8
1131,8.6,8.3,8,21.2,16,19.1,19.5,19.4,19.1,12.8,11.5,11
1133,3.6,3.1,3,9.8,5.4,6.2,6,5.5,5.2,3.3,3.1,2.9
2000,5.4,5.2,6.2,12.4,12,11.2,10.2,6.2,6.5,5.9,6.3,6.6
2013,2.7,1.8,2.4,7.8,10.5,4.4,3,1.8,2.5,1.9,4.4,9.1
2016,2.7,1.7,2,3.7,17.6,7.6,3.7,2.1,2.2,2.9,4.8,7.9
2020,4.2,4,5,12.4,11.7,10.9,10,6.3,6.6,5.8,5.9,6.1
2050,10.2,10.9,11.8,12.1,14,15,14.8,9.8,10.2,9.4,9.9,10.5
2060,12.9,13.9,15.2,13.3,10.6,4.8,2.8,4.2,8,7.4,8.3,9.8
2063,,,,,,,,,,,,
2066,,,,,,,,,,,,
2068,16.3,16.2,17.8,25.5,24.4,19.8,16.2,10.2,10.5,10.2,10.3,13.7
2070,7.9,7.1,8.4,9.8,11.2,11.3,8.1,6.1,7.6,6.5,7.2,6.9
2090,4.7,4.4,5.2,10,9.7,9.3,8.5,4.8,5.1,4.7,4.9,5.1
2100,13.3,14.2,15.3,25.7,23.6,20.5,17.3,10.9,11.2,10.4,11.1,11.8
2105,14.1,15.1,15.1,16.9,18,16.7,14.8,9.5,10,10.2,10.2,10.6
2110,4,3.6,4.4,10.1,10.7,10.8,10,5.5,5.7,4.9,5,4.8
2122,6.7,6.4,7.6,15,13.3,12,11.3,6.5,7.3,7.1,7.9,7.9
2130,6.7,6.6,7.7,15.7,15,13.4,12.5,7.7,7.9,6.8,7.5,7.4
2150,6.7,3.9,4.4,8.9,8.6,8.1,6.5,4,4.2,3.8,5.5,10.6
2158,18,19.8,21.4,23.7,25,28.7,26,16,15,12.4,14.8,15.1
2164,10.1,10.4,11.6,13.8,12.5,11.2,8.9,6.1,6,6.9,7.7,9.1
2170,6.1,5.9,7.2,13.9,12.3,11.8,10.8,6.4,6.8,6,6.4,6.6
2180,8.8,9.5,10.6,12.6,14.8,14.6,14.5,8.7,9.2,7.7,7.7,7.2
2185,4.7,4.1,4.6,4.8,7.7,9.3,8.1,5.1,5.7,6,6.2,5.9
2188,11.1,12.4,13,13.2,14.9,16.5,16.5,9.4,9.9,8.9,9.5,8.9
2195,9.3,8,9.8,13.1,13.4,10.8,8.3,5.1,5.3,6,6.7,8.2
2198,8.7,9,10.2,12.3,12.5,12.4,11.4,6.6,7.4,6.2,6.7,6.7
2220,4.4,3.9,4.7,12.2,12.5,11.3,8.6,4.5,4.8,4.8,5.1,6.1
2230,19.5,21,19.8,32.7,28.9,26.1,26.1,17.1,16.9,15.3,15.8,17.5
2240,8.2,8.2,8.3,8.8,9.4,9.1,8,4.9,5.1,5.4,6.4,6.7
2261,9.8,10.3,10.7,13.7,12.4,9.8,7.8,4.4,5.6,6.6,7.8,7.8
2275,7.2,6.8,7.6,12.9,12.5,11.2,10.4,6.5,7.1,5.4,6.3,6.9
2282,10.7,9.9,10,9.7,10.4,8.9,9,5.8,5.3,6.8,7.3,7.7
2290,12,13.3,13.8,15.3,17,16,16.1,8.9,8.5,7.7,8.2,8.6
4000,4.8,4.5,5.2,14.2,10.7,10.8,10.9,7.1,7,6.4,6.4,6.7
4001,11.3,10.4,11.8,16.6,13.4,17.2,17.6,11.6,11.5,10.2,10.6,11.5
4003,5.9,5.5,6.1,11.8,8.7,9.1,9.1,5.9,5.7,5.1,5.2,5.7
4005,6.6,6,6.8,18.2,13.8,13.3,12.7,8.3,8,7.2,7.4,8.2
4007,6.1,5.7,6.5,12.8,9.2,9.6,10.1,6.6,6.6,6.1,6.4,6.9
4009,5.1,4.8,5.4,8.3,7.2,9,9.5,5.7,5.5,4.8,5.1,5.8
4011,3.9,3.7,4.3,5.8,5.2,7.8,8.4,5.5,5.3,5,5.2,5.8
4012,6.3,6,6.5,9.9,7.7,8.8,9.4,7,6.8,5.6,5.5,6.2
4013,4.2,4,4.5,13.5,10.1,10.3,10.3,6.7,6.6,6.1,6.1,6.4
4015,6.2,5.7,6.5,20.3,16.3,13.1,12.3,8.3,8.2,7.2,7.2,7.6
4017,8.5,7.9,9,15.5,11.7,13.6,13.6,9,8.7,7.6,8,8.7
4019,4.7,4.4,5,13.9,10.4,10.6,10.7,6.8,6.7,6.4,6.4,6.9
4021,5.1,4.8,5.5,12.8,9.8,10.3,10.5,6.6,6.6,6,6.1,6.5
4023,8.2,7.3,8.8,16.9,12.7,13.9,15.9,11.7,11.8,10.5,9.9,10
4025,4.7,4.4,4.9,15.9,10.7,9.9,9.7,6.2,6,5.6,5.7,6.1
4027,14.1,12.3,14.2,25,21.5,22.6,24.8,18.2,17.3,12.6,11.8,11.2
5000,4.2,4,4.2,9.7,8.7,7.9,7.5,6.3,5.8,4.8,4.8,4.7
5001,3.6,3.4,3.4,4.8,4.6,5.2,4.9,4,4,3.4,3.5,3.4
5003,7.6,7.7,8.1,12.1,11.6,11.1,11.6,9.2,8.8,7.9,7.8,7.8
5005,4.7,4.4,4.4,9.9,8.8,8.4,6.9,5.4,5.1,4.3,4.4,4.5
5007,3,2.9,3,7.4,6.4,6,5.6,4.6,4.3,3.5,3.5,3.4
5009,3.9,3.7,3.8,10.3,7.8,6.6,6.2,5,4.5,3.8,3.8,3.7
5011,4.7,4.5,4.7,9.9,7.6,7,7.2,5.4,5,4.4,4.7,4.7
5013,5.1,5.2,5.4,6.9,5.9,6.3,5.8,4.7,4.3,3.9,4,4
5015,4.4,4.1,3.7,10.3,8.8,7,6.6,5.4,4.9,4.1,4.2,4.5
5017,9,9,8.9,12.5,11.6,12.5,12.5,10.1,10,9.2,9.1,9.6
5019,4.3,4,4.1,8.9,8.6,8.4,7.9,5.8,5.3,4.5,4.5,4.7
5021,6.1,6,6.3,8.1,7.9,7.8,7.3,5.4,4.8,3.9,4.1,4.5
5023,5.8,5.7,5.8,15.8,10.7,8.8,8.3,6.8,6.3,5.6,5.7,5.8
5025,5.2,5,5.2,8.2,7.8,7.2,6.8,6,6,5.2,5.3,5.1
5027,5,4.8,5.1,9,8.3,8.3,9,7.3,6.9,5.8,5.9,6.9
5029,5,4.8,4.8,10.2,8.3,7.5,7,5.4,5.2,4.3,4.6,4.6
5031,3.3,3.1,3.3,8.8,8,7.5,6.9,5.8,5.2,4.1,4,3.9
5033,3.9,3.8,3.8,8.9,8.4,6.8,6.6,5.4,5.1,4.2,4.2,4.2
5035,4.9,4.6,4.7,13.2,11.8,11.3,11,9.4,8.6,6.7,6.5,6
5037,4.9,4.6,4.5,10.1,8,7,7.6,6.1,5.6,4.9,4.9,4.8
5039,5,5.1,4.8,8.7,6.7,6.9,6.2,4.9,4.6,3.7,3.8,3.7
5041,5.3,5.2,5.4,8.8,8.9,8.7,9.6,7.8,7.1,5.8,5.7,5.7
5043,6.2,6.2,6.1,10,8.9,8.4,8.2,6.6,6.2,5.3,5.3,5.6
5045,3.5,3.4,3.6,10,8.6,7.2,6.6,5.2,4.8,4.1,4.1,4.1
5047,3.9,3.9,4.1,8,9.7,7,7,5.3,5.1,4.2,4.3,4.4
5049,4.5,4.4,4.2,6.9,6.5,6.8,6.2,4.9,4.5,3.9,4.3,4.6
5051,4.2,4.1,4.2,15,12.7,10.3,9.5,8.7,8.1,6.4,6.2,5.9
5053,3.9,4,4.1,7.9,7.1,6.9,6.5,5.1,4.8,4,4,4.1
5055,4.2,4.3,4.3,10.3,9,8.3,7.3,5.8,5.2,4.2,4.2,4.2
5057,4.6,4.5,4.6,7.8,6.5,6.5,6.2,5.2,4.8,3.8,3.9,3.9
5059,3.9,3.8,4,9.8,8.2,7.4,7.1,6,5.6,4.5,4.4,4.3
5061,4.2,4,4.2,7.6,6.2,6,6.3,5.2,4.8,3.9,3.8,3.8
5063,4.6,4.4,4.4,10.7,7.8,7.2,6.6,5.3,4.8,4.3,4.1,4.3
5065,6.8,7.1,7.3,13.1,11.4,11.2,10,8,7.1,6.1,6.3,6.5
5067,7.5,7.3,7.1,9,8.1,8.4,8.2,6.7,6.3,5.4,5.6,6
5069,6.3,6.2,6.3,9.9,10,9.6,9.9,8.6,8.4,7.2,7,7
5071,4.8,4.6,4.6,10.8,9.8,7.6,8.3,6,5.4,4.4,4.5,4.9
5073,5.6,5.4,5.6,9.8,9.2,9.4,9.2,8,8.1,7.1,7.2,7.2
5075,4.8,4.7,4.6,8.8,8.2,8.3,7.9,6.5,5.8,4.7,4.7,5
5077,6.5,6.5,6.6,9.1,9.9,8.9,9,7.6,7.3,6,6,6.5
5079,5.6,5.5,5.3,8.5,7.2,7.2,6.7,6,5.4,4.6,4.8,4.8
5081,5.1,5.3,5.2,10.2,8.2,7.9,7.7,6.4,6,5.1,5.1,5.2
5083,5.3,4.8,4.7,11.3,10.8,8.5,8.2,6,5.6,4.8,4.8,4.8
5085,3.7,3.8,4.3,8.9,7.8,7.3,7,5.7,5.2,4.4,4.4,4.2
5087,2.9,2.8,3,5.4,5.3,5,4.7,4,3.9,3.2,3.3,3.3
5089,5.1,5,4.9,8.7,9.1,8.4,7.8,6.1,5.9,5.1,5.6,5.6
5091,4.6,4.5,4.8,13.3,9.6,8.7,8.3,6.6,6.1,5.2,5.4,5.3
5093,5.8,6,6.2,12.1,13.9,12.1,11.7,9.4,8.8,7.4,7.5,7.2
5095,5.1,5,5.1,7.9,7.7,8.7,8.4,7,6.6,5.8,6.4,6.4
5097,6.2,5.9,6.1,9.7,9,8.1,8.1,6.5,5.9,4.9,5.4,5.8
5099,4.2,4.4,4.6,8.2,7.5,8,7.9,6.4,5.7,4.5,4.4,4.5
5101,4.9,4.4,4.3,8.7,7.4,6.3,5.5,4.2,3.8,3.2,3.4,3.6
5103,5.7,5.6,5.6,8.9,7.4,7.4,7.5,5.7,5.2,4.3,4.5,4.3
5105,4.8,4.4,4.4,9.2,7.8,6.8,6.4,5.2,5,4,4.2,4.4
5107,7.4,7.2,7.1,12.4,12.2,11.2,11.3,8.8,8.2,7.3,7.4,7.9
5109,4.8,4.7,4.7,8.3,8,7.2,7.2,5.6,5.4,4.7,5.1,5.1
5111,4.5,4.3,4.2,7.7,7.5,7.2,6.7,5.7,5.3,4.3,4.3,4.4
5113,6.1,5.9,6,9.6,8.5,7.9,7.9,6.4,5.8,4.9,5.2,5.2
5115,5.1,4.6,4.4,9.2,8.1,7.6,7.5,5.8,5.2,4.2,4.4,4.6
5117,4.3,4.5,5.1,7,6.6,7.6,6.5,5,4.6,4.3,4.4,4.4
5119,3.9,4,4.2,11.5,10.9,9.8,9.7,8.6,8,6.5,6.2,5.8
5121,4.8,4.7,4.7,9,7.7,7.4,7.1,5.9,5.4,4.4,4.7,4.9
5123,5.7,5.6,5.8,11.2,11.3,9.4,9.7,8.1,7.9,6.7,6.7,6.7
5125,3.3,3.2,3.3,8.4,7.6,6.8,6.5,5.2,4.8,4,3.9,3.8
5127,4,3.8,3.7,5.7,5.6,5.6,5.6,4.3,4,3.6,3.7,4.1
5129,6.4,6.2,5.8,10.4,8.3,7.6,7.1,5.6,5.2,4.6,4.5,4.7
5131,4,3.8,3.9,10.3,9.8,7.5,7.1,5.9,5.5,4.6,4.6,4.5
5133,5.7,5.5,5.7,7.5,6.4,6.8,6.6,5.5,5.4,4.8,5,5.1
5135,6,6,5.9,10.5,9.2,9.1,8.5,6.7,6,5.5,5.8,6.1
5137,6.1,5.8,5.5,11.5,9,8.8,8,6.4,6.1,5.5,6,6.3
5139,6.6,6.2,6.6,11.2,11.3,10.8,10.3,8.6,8,6.7,6.7,6.5
5141,6.1,6,5.8,10.8,9.7,8.5,7.9,6.4,6.2,5.6,5.9,6.5
5143,2.8,2.6,2.8,7.8,6.9,6.2,5.8,5,4.6,3.7,3.6,3.5
5145,5.4,5.4,5.5,9.2,8.2,7.9,7.5,5.9,5.4,4.5,4.8,4.9
5147,5.9,5.1,5.5,7.1,6.9,7.1,7.2,5.5,5.1,4.7,5,5.1
5149,4.5,4.4,4.2,7.1,6.5,6.4,6.3,5,4.8,3.7,3.9,4.2
6000,4.5,4.3,5.1,16,15.5,14.1,13.6,12.3,10.5,9.3,8.3,9.1
6001,3.1,2.9,3.5,14.6,13.8,13,12,10.6,9.7,8.4,6.8,7.5
6003,4.6,5.1,5.5,22.9,22.8,19.6,14.5,11.6,11,10.3,7.5,7.7
6005,4.8,4.4,4.9,15.2,15.3,12.1,11.6,9.8,8.9,8,6.9,8.1
6007,5.6,5.4,6.1,15.9,13.3,11.6,11.1,9.8,9,8,6.9,8.1
6009,4.4,4.1,4.9,13.7,11.6,10,9.1,7.8,7.3,6.6,5.6,6.8
6011,20,20.2,21.4,25.7,19.4,16.2,13.5,10.7,10,9.2,10.1,14
6013,3.3,3.1,3.6,15.1,14,12.9,11.9,10.5,9.6,8.4,6.9,7.7
6015,6.7,6.2,6.9,14.5,13.4,11.6,11.1,9.8,8.9,8.3,7.6,9
6017,3.8,3.6,4.2,15.5,14.9,12,9.9,8.5,7.7,6.7,5.7,6.8
6019,8.3,8.4,9.8,17.1,15.2,13.5,13,11.5,10.5,9.7,8.5,10
6021,7.7,7.1,8,14.4,11.7,10.5,10.1,8.6,7.6,6.8,6.2,7.6
6023,4.2,3.8,4.4,15.2,12.9,11.5,10.6,9.4,8.1,7.3,6.2,7.4
6025,19.9,18.1,20.1,28.6,27.5,26.5,27.5,24.8,22.2,20,16.4,17.5
6027,4,3.9,4.4,14.9,12.5,10.4,9.3,8,7.5,6.8,5.8,6.7
6029,8.8,9.1,11,18.6,16.9,15.7,15.2,13,11.9,10.6,9,10.8
6031,9.6,9.8,11.3,16.9,14.9,13.3,12.4,11,10.4,9.8,8.8,10.6
6033,6.3,5.8,6.6,16,14.2,12.3,11,9.5,8.9,8.3,7.4,8.8
6035,6,5.9,6.6,11.5,9.5,8.3,8,6.8,6.3,5.4,5,6.7
6037,4.9,4.7,5.6,18.2,18.8,17.9,18.2,17.5,13.2,12,11.9,12.3
6039,8.2,7.9,9.6,17.4,14.8,12.9,12.4,10.5,9.6,8.9,7.9,9.4
6041,2.5,2.4,2.8,12.1,11,10,9.1,7.8,7,6,4.9,5.6
6043,6,5.9,6.7,20.4,19.1,14.2,11.3,10,9.5,8.8,8.4,10.8
6045,4.9,4.6,5.3,15.6,13.6,12,10.9,9.5,8.6,7.8,6.7,7.7
6047,9.9,10.2,11.6,18.5,15.7,14.4,13.9,11.9,10.6,9.7,8.9,11
6049,10.1,9.6,10.2,13.2,10.1,8.7,7.8,6.7,6.1,5.9,5.9,8.3
6051,3.6,3.7,4.4,28.2,26.5,21,13.7,11,10,10.2,8.1,9.1
6053,10.1,10.1,11.2,19.1,14.8,12.1,10.4,8.8,8.1,7.4,7,10.3
6055,3.7,3.2,3.7,17.8,15.2,12.4,10.7,9.3,8.3,7.4,6.4,7.5
6057,3.7,3.6,4.2,15.4,13.1,11.2,10,8.6,7.7,6.8,5.7,6.7
6059,2.9,2.8,3.3,14.4,14.9,13.3,12.3,10.7,9.6,8.2,6.6,7.4
6061,3.4,3.1,3.6,13.2,12.4,10.5,9.4,8.2,7.2,6.3,5.2,6
6063,10.8,10.8,11.9,18.7,13.6,10.8,10,8.5,7.8,7.5,7.4,10.4
6065,4.3,4,4.7,16,15.7,13.7,13.2,11.6,10.6,9.3,7.7,8.7
6067,4,3.7,4.3,14.9,14.3,12.9,12.1,10.9,10,8.8,7.3,8.3
6069,6.2,5.9,7,18.8,14.9,12.7,11.3,9.6,8.9,7.9,6.9,8.5
6071,3.9,3.7,4.4,14.2,14.1,13,12.7,11.3,10.5,9.4,7.9,8.8
6073,3.4,3.2,3.8,15.9,15.6,13.5,12.3,10.8,9.6,8.4,6.8,8
6075,2.4,2.2,2.8,13,12.8,12,11,9.7,9,7.6,5.9,6.4
6077,6.8,6.5,7.5,17.9,15.8,14.5,13.8,12.2,11.3,10.2,8.7,10
6079,3.2,3,3.5,14.8,13.1,11,9.9,8.6,7.5,6.4,5.4,6.7
6081,2.2,2.1,2.5,11.8,11.3,10.5,9.4,8.3,7.6,6.6,5.3,5.8
6083,4.6,4.4,4.9,14,12.4,10.7,9.6,8.3,7.5,6.6,5.7,7.3
6085,2.7,2.5,3,12.2,11.3,10.3,9.3,8.1,7.4,6.4,5.2,5.9
6087,6.3,6.4,7.4,17.6,14.3,12.2,10.6,9.2,8.3,7.4,6.6,8.1
